tam_1,tam_2,tam_3,tam_4,tam_5,tam_6,tam_7,tam_8,tam_9,tam_10
9.2,-7,1,103.5,-2.5,2.4,1.8,4.3,13694658663.1138,26657447103.2746
9,-5,1,103.5,-0.7,4.5,2.1,4.5,13695099989.5914,26659462216.6247
11.3,-5,1,103.5,-2.1,4.3,1.4,4.9,13695541316.0689,26661477329.9748
13.6,-5,1.3,103.5,-0.9,4.6,0.5,5.2,13695982642.5464,26663492443.3249
15.5,-6,1.3,103.5,1.9,4.5,0,5.1,13696423969.0239,26665507556.6751
17.4,-9,1.3,103.5,1.6,4.8,0.5,4.7,13696865295.5014,26667522670.0252
18.75,-8,1,103.5,-1.7,4,0.4,4.5,13697306621.9789,26669537783.3753
20.1,-6,1,103.5,0.6,5.1,0.9,4.8,13697747948.4564,26671552896.7254
19.4,-4,1,103.5,-2.1,4.2,-0.9,4.7,13698189274.9339,26673568010.0756
18.7,-4,2,103.5,-1.9,3.2,-1.1,4.1,13698630601.4114,26675583123.4257
17.45,-5,2,103.5,-3.5,0.5,-0.5,4.2,13699071927.8889,26677598236.7758
16.2,-8,2,103.5,-5.2,1.1,-1.7,4.6,13699513254.3664,26679613350.1259
13.45,-9,1.7,103.5,-5,2.1,0.4,4.5,13699954580.8439,26681628463.4761
10.7,-8,1.7,103.5,-4.8,2.1,1.5,4.5,13700395907.3214,26683643576.8262
9.85,-5,1.7,103.5,-5.3,0.7,1.2,4.3,13700837233.7989,26685658690.1763
9,0,1,103.5,-4,3.1,1.2,4.3,13701278560.2765,26687673803.5264
8.7,0,1,103.5,-1.9,4.1,2.8,4.9,13701719886.754,26689688916.8766
8.4,2,1,103.5,-2.9,4.2,2.6,5.4,13702161213.2315,26691704030.2267
8.95,4,1.3,103.5,1,4.6,3.7,5.7,13702602539.709,26693719143.5768
9.5,6,1.3,103.5,0.5,4.6,3.9,5.8,13703043866.1865,26695734256.927
9.1,7,1.3,103.5,-1.3,4.1,0.4,6.5,13703485192.664,26697749370.2771
8.7,2,2.3,105.4,-3.3,0.4,-4,7.2,13703926519.1415,26699764483.6272
8.85,-4,2.3,105.4,-3.4,2,-2,6.7,13707067693.6528,26705104088.5151
9,-5,2.3,105.4,0.1,4.6,3.6,7.1,13710748189.9369,26711107793.9921
8.9,-2,1.7,105.4,0.4,6.2,0.5,7.5,13714428686.221,26717111499.4692
8.8,-1,1.7,105.4,1.6,5.2,4.6,7.5,13718109182.5052,26723115204.9462
11.45,2,1.7,105.4,0.6,1.5,4.4,8.5,13721789678.7893,26729118910.4232
14.1,2,1,105.4,-2.3,-1.6,0.9,8,13725470175.0734,26735122615.9002
15.9,0,1,105.4,-3,-2,-2,7.4,13729150671.3575,26741126321.3773
17.7,-3,1,105.4,-2.1,0.6,-1.6,7.3,13732831167.6416,26747130026.8543
19.5,-3,2,105.4,-1.3,3.2,-3.3,7.2,13736511663.9257,26753133732.3313
21.3,-4,2,105.4,-0.1,4.3,1.4,7.2,13740192160.2098,26759137437.8084
20.5,-6,2,105.4,-2.6,2.5,-2.7,6.6,13743872656.494,26765141143.2854
19.7,-8,2.3,105.4,-3,2.4,1.1,6,13747553152.7781,26771144848.7624
17.7,-4,2.3,105.4,0.6,4.2,2.5,5.2,13751233649.0622,26777148554.2394
15.7,-1,2.3,105.4,-2.8,0,-2.2,5.8,13754914145.3463,26783152259.7165
13.05,0,1.3,105.4,-1.3,2.6,0.8,5.8,13758594641.6304,26789155965.1935
10.4,0,1.3,105.4,-2.9,0.6,0.9,5.3,13762275137.9145,26795159670.6705
9.35,1,1.3,105.4,-1.6,2.5,0.3,4.8,13765955634.1986,26801163376.1476
8.3,1,2.3,105.4,1.7,3.3,2.6,4.3,13769636130.4828,26807167081.6246
7.75,1,2.3,105.4,0.4,2.6,-1,4.6,13773316626.7669,26813170787.1016
7.2,-3,2.3,105.4,0.3,2.1,-3,5,13776997123.051,26819174492.5786
7.65,-5,2.7,105.4,-2.7,2.5,-1.5,5.4,13780677619.3351,26825178198.0557
8.1,-5,2.7,105.4,-0.8,1.8,1,6.4,13784358115.6192,26831181903.5327
8.35,0,2.7,105.4,1.6,0.9,-0.2,7.1,13788038611.9033,26837185609.0097
8.6,2,1.3,104.5,3,1.1,0.7,8.1,13791719108.1874,26843189314.4867
8.35,4,1.3,104.5,2.8,1.7,0.6,9,13787174444.6989,26832247290.6301
8.1,5,1.3,104.5,-1.5,2.9,-0.1,9.5,13780762720.403,26817458690.1763
8.15,6,2.7,104.5,-4.4,2.7,-1.4,8.8,13774350996.1072,26802670089.7225
8.2,4,2.7,104.5,-4.9,2.5,-3,8.9,13767939271.8113,26787881489.2687
10.75,2,2.7,104.5,-2.6,1,-1.9,11.7,13761527547.5155,26773092888.8149
13.3,-1,2.3,104.5,1.7,-5.1,-2.4,7.6,13755115823.2196,26758304288.3611
16.4,-7,2.3,104.5,1.2,-8.2,-3.7,2.5,13748704098.9237,26743515687.9072
19.5,-10,2.3,104.5,3.5,-8.2,-1.5,2,13742292374.6279,26728727087.4534
20.2,-11,1.7,104.5,6.9,-6.2,0.5,1.3,13735880650.332,26713938486.9996
20.9,-13,1.7,104.5,7.4,-4.3,0.4,1.7,13729468926.0362,26699149886.5458
20.75,-13,1.7,104.5,3.9,-6.4,0.1,1.7,13723057201.7403,26684361286.092
20.6,-10,2,104.5,4.1,-4.1,-0.2,1.7,13716645477.4445,26669572685.6382
18.35,-5,2,104.5,6,1.8,0.8,1.3,13710233753.1486,26654784085.1843
16.1,-4,2,104.5,1.4,-2.3,-1.9,1.4,13703822028.8528,26639995484.7305
13.9,-9,3,104.5,4.1,-4.5,-1,1.3,13697410304.5569,26625206884.2767
11.7,-10,3,104.5,-2.1,-4.8,-3.8,2.2,13690998580.261,26610418283.8229
10.9,-17,3,104.5,5.8,-5.2,0.1,2.3,13684586855.9652,26595629683.3691
10.1,-16,4,104.5,1.5,-6.4,-4.7,2.6,13678175131.6693,26580841082.9153
10,-17,4,104.5,5.3,-7.6,2.5,2.2,13671763407.3735,26566052482.4614
9.9,-15,4,104.5,1.5,-9.1,-2.3,2.6,13665351683.0776,26551263882.0076
10.65,-14,3.7,104.5,1.8,-7.6,-5.1,2.9,13658939958.7818,26536475281.5538
11.4,-17,3.7,104.5,2.4,-4.4,-4.9,3.3,13652528234.4859,26521686681.1
10.9,-20,3.7,104.5,3.5,-4.6,-4.5,3.4,13646116510.1901,26506898080.6462
10.4,-27,4,102,0.5,-3,-2.6,3.3,13639704785.8942,26492109480.1924
9.75,-30,4,102,1.9,-5.4,0.5,3.5,13632838743.0522,26476962730.8117
9.1,-25,4,102,3.7,0.9,2.7,3.4,13625856625.1015,26461724476.9657
8.85,-21,2,102,4.5,-3.8,1.6,3,13618874507.1507,26446486223.1197
8.6,-17,2,102,2.6,-2.8,2.6,2.5,13611892389.2,26431247969.2737
11.2,-14,2,102,4,-2.5,-0.6,2.8,13604910271.2492,26416009715.4277
13.8,-20,2.7,102,4.4,2.8,-1.3,2.4,13597928153.2985,26400771461.5817
17.95,-20,2.7,102,4.8,0.3,2.6,2.1,13590946035.3478,26385533207.7357
22.1,-14,2.7,102,4.6,-1,3.7,2.1,13583963917.397,26370294953.8897
22.95,-15,2.3,102,5.3,1.1,4.1,2.2,13576981799.4463,26355056700.0437
23.8,-14,2.3,102,6.8,-2.1,0.8,2.9,13569999681.4955,26339818446.1977
22.9,-11,2.3,102,6.2,-3.2,0.2,3,13563017563.5448,26324580192.3517
22,-9,2.3,102,4.8,1.2,4.7,3.3,13556035445.594,26309341938.5057
18.45,-4,2.3,102,2.6,-4.6,5.7,3.7,13549053327.6433,26294103684.6597
14.9,-1,2.3,102,2.3,-3.5,3.3,4.1,13542071209.6925,26278865430.8137
12.4,-2,2,102,2.6,-3.1,4.1,4.6,13535089091.7418,26263627176.9678
9.9,-3,2,102,4.2,-3.3,2.4,4.6,13528106973.791,26248388923.1218
8.65,-3,2,102,4.8,-4.1,2.9,4.4,13521124855.8403,26233150669.2758
7.4,-5,3,102,6.9,-2.1,1.5,2.4,13514142737.8895,26217912415.4298
7.15,-11,3,102,4.1,-3.7,-1.4,3.2,13507160619.9388,26202674161.5838
6.9,-13,3,102,3.1,0.3,1.7,3.2,13500178501.9881,26187435907.7378
7.25,-20,3,102,4.6,-0.8,1,2.5,13493196384.0373,26172197653.8918
7.6,-11,3,102,1.8,-2.7,2,4.1,13486214266.0866,26156959400.0458
7.65,-8,3,102,3.6,-3,-2.7,4.3,13479232148.1358,26141721146.1998
7.7,-13,4,100.7,3.3,-4.4,-2.2,4.5,13472250030.1851,26126482892.3538
7.45,-17,4,100.7,2.7,-6,-2.5,4.2,13467865726.4192,26118140831.0261
7.2,-16,4,100.7,0.4,-5.5,0.3,4.1,13464222701.2511,26111766577.8462
7.2,-19,4,100.7,0.9,-4.7,-0.4,3.8,13460579676.083,26105392324.6664
7.2,-17,4,100.7,1.4,-6.5,1.1,3.4,13456936650.9149,26099018071.4866
10.3,-14,4,100.7,1.3,-5.8,1.4,3.2,13453293625.7468,26092643818.3067
13.4,-14,2,100.7,3.7,-2.3,-0.2,2.7,13449650600.5787,26086269565.1269
15.95,-13,2,100.7,1,-3.3,0.2,2.9,13446007575.4106,26079895311.947
18.5,-14,2,100.7,1.3,-4.6,-0.9,2.8,13442364550.2425,26073521058.7672
18.9,-14,1.7,100.7,1.2,-3.3,1.6,2.6,13438721525.0744,26067146805.5874
